food_name,cal,VE,DGC,pro,K,fat,Na,CHO,Ca,XW,Mg,BC,Fe,VA,Zn,VC
鸡蛋,156,2,585,13,182,13,126,1.3,44,0,11,0,2.3,194,1,0
鸡蛋白,60,0,0,12,132,0.1,79,3.1,9,0,15,0,1.6,0,0.02,0
鸡蛋黄,328,5,1510,15,95,28,15,3.4,112,0,45,0,6.5,438,3.79,0
大麦,307,1,0,10,49,1.4,0,63,66,9.9,63,0,6.4,0,4.36,0
大米,346,0,0,7.4,103,0.8,3.8,77,13,0.7,67,0,2.3,0,1.7,0
稻米,346,0,0,7.4,103,0.8,3.8,77,13,0.7,77,0,2.3,0,1.7,0
糯米,348,1,0,7.3,137,1,1.5,78,26,0.8,49,0,1.4,0,1.54,0
燕麦片,367,3,0,15,214,6.7,3.7,62,186,5.3,177,0,7,0,2.59,0
薏米,357,2,0,13,238,3.3,3.6,69,42,2,88,0,0,3.6,1.68,0
玉米,106,0,0,4,238,1.2,1.1,20,0,2.9,32,0,1.1,0,0.9,16
马铃薯,76,0,0,2,342,0.2,2.7,17,8,0.7,23,30,0.8,0,0.37,0
山药,56,0,0,1.9,213,0.2,19,12,16,0.8,20,20,0.3,0,0.27,5
生姜,41,0,0,1.3,295,0.6,15,7.6,27,2.7,44,170,1.4,0,0.34,0
甜菜头,75,2,0,1,254,0.1,21,18,56,5.9,38,0,0.9,0,0.31,0
芋头,79,0,0,2.2,378,0.2,33,17,36,1,23,160,1,0,0.49,0
竹笋,19,0,0,2.6,389,0.2,0.4,1.8,9,1.8,1,0,0.5,0,0.33,5
葫芦,14,0,0,0.7,87,0.1,0.6,2.7,16,0.8,7,40,0.4,0,0.14,0
西兰花,33,1,0,4.1,17,0.6,19,2.7,67,1.6,17,7210,1,0,0.78,75
小白菜,15,1,0,1.5,178,0.3,74,1.6,90,1.1,18,1680,1.9,0,0.51,28
油菜,23,1,0,1.8,210,0.5,56,2.7,108,1.1,22,620,1.2,0,0.33,36
油麦菜,15,0,0,1.4,100,0.4,80,1.5,70,0.6,29,360,1.2,0,0.43,0
番茄,19,1,0,0.9,163,0.2,5,3.5,10,0.5,9,550,0.4,0,0.13,23
胡萝卜,320,0,0,4.2,1117,1.9,301,72,458,6.4,82,17250,8.5,0,1.85,16
菠萝,41,0,0,0.5,113,0.1,0.8,9.5,12,1.3,8,200,0.6,0,0.14,18
草莓,30,1,0,1,131,0.2,4.2,6,18,1.1,12,30,1.8,0,0.14,60
甜橙,47,1,0,0.8,158,0.2,1.2,10.5,20,0.6,14,160,0.4,0,0.14,33
苹果,45,1,0,0.7,115,0.4,0.7,9.6,3,2.1,5,600,0.7,0,0,12
柠檬,35,1,0,1.1,209,1.2,1.1,4.9,101,1.3,37,0,0.8,0,0.65,45
葡萄,43,1,0,0.5,104,0.2,1.3,9.9,5,0.4,8,50,0.4,0,0.18,25
香蕉,91,0,0,1.4,256,0.2,0.8,20.8,7,1.2,43,60,0.4,0,0.18,0
扁豆,37,0,0,37,178,0.2,3.8,6.1,38,2.1,34,150,1.9,0,0.72,16
菜豆,28,1,0,28,123,0.4,8.6,4.2,42,1.5,27,210,1.5,0,0.23,16
蚕豆,104,1,0,104,391,0.4,4,16.4,16,3.1,46,310,3.5,0,1.37,16
刀豆,35,0,0,35,209,0.2,5.9,5.3,48,1.8,28,220,3.2,0,0.84,16
青豆,123,2,0,123,478,5,3.4,6.5,135,4,70,200,3.5,0,1.73,16
牛奶,54,0,15,3,109,3.22,37.2,3.4,104,0,11,0,0.3,24,0.42,3
酸奶,64,0,15,2.7,130,1.9,13,9,81,0,10,0,0,32,0.68,0
南瓜子,566,13,0,33.2,102,48,20.6,0,16,4.8,2,0,1.5,0,0.23,0
松子,698,33,0,13.4,502,71,10.1,22,78,10,116,10,4.3,0,4.61,0
杏仁,514,19,0,24.7,106,45,7.1,29,71,19,0,0,1.3,0,3.64,0
核桃,601,66,0,18,237,50,251,18.8,57,7.4,306,30,6.8,0,6.42,
